,food,size,price
1,Build Your Own Pizza,,8.45
2,1 Top Pizza,,6.75
3,Simple Pie Pizza,,5.55
4,Meat Eater Pizza,,8.45
5,BBQ Chicken Pizza,,8.45
6,Green Stripe Pizza,,8.45
7,Art Lover Pizza,,8.45
8,Red Vine Pizza,,8.45
9,Veg Out Pizza,,8.45
10,Link In Pizza,,8.45
11,White Top Pizza,,8.45
13,Caesar (Side Salad),,3.95
14,"Tomato, Basil & Ovalini (Side Salad)",,3.95
15,Roasted Veggie & Gorgonzola (Side Salad),,3.95
16,Beet & Goat Cheese (Side Salad),,3.95
17,Antipasto (Entree Salad),,7.25
18,Chicken Caesar (Entree Salad),,7.25
20,S'more Pie,,2.0
22,Fountain Drink,,2.1
23,Water,Bottle,1.95
24,Milk,,1.95
